Season,lg_pts,lg_treb,lg_oreb,lg_dreb,lg_ast,lg_stl,lg_blk,lg_tov,lg_pf,lg_fga,lg_fgm,lg_fg3a,lg_fg3m,lg_fta,lg_ftm
2008,99.95081300813008,41.295121951219514,11.039430894308943,30.255691056910567,20.977642276422763,7.269512195121951,4.803658536585366,14.03211382113821,21.04268292682927,80.91626016260163,37.11788617886179,18.12317073170732,6.647154471544716,24.739430894308942,19.067886178861787
2009,100.44715447154472,41.72357723577236,10.957317073170731,30.766260162601625,21.243089430894308,7.21910569105691,4.85650406504065,14.220325203252033,20.85731707317073,81.70284552845528,37.69512195121951,18.139024390243904,6.431707317073171,24.54349593495935,18.62520325203252
2010,99.55040650406504,41.388617886178864,10.91219512195122,30.476422764227642,21.49878048780488,7.326422764227642,4.864227642276423,14.254065040650406,20.71260162601626,81.21544715447155,37.24552845528455,18.01341463414634,6.457723577235773,24.364634146341462,18.601626016260163
2011,96.25959595959596,42.178282828282825,11.36969696969697,30.808585858585857,20.976262626262628,7.6767676767676765,5.093939393939394,14.575757575757576,19.56767676767677,81.42676767676768,36.47373737373737,18.38131313131313,6.41060606060606,22.46060606060606,16.901515151515152
2013,101.0089430894309,42.74837398373984,10.9130081300813,31.835365853658537,22.004471544715447,7.680894308943089,4.713008130081301,14.647967479674797,20.70040650406504,82.99674796747968,37.71504065040651,21.534146341463416,7.7455284552845525,23.589024390243903,17.833333333333332
2014,100.01422764227642,43.29430894308943,10.886585365853659,32.40772357723577,22.033333333333335,7.736178861788618,4.795528455284553,14.354471544715446,20.214634146341464,83.5650406504065,37.515040650406505,22.413414634146342,7.845528455284553,22.84471544715447,17.13861788617886
2015,102.67154471544715,43.75813008130081,10.416260162601626,33.34186991869919,22.289024390243902,7.846747967479675,4.95650406504065,14.383333333333333,20.265853658536585,84.57276422764228,38.23780487804878,24.08170731707317,8.517479674796748,23.36138211382114,17.678455284552847
2016,105.59065040650407,43.514227642276424,10.136585365853659,33.37764227642276,22.6260162601626,7.703252032520325,4.743495934959349,13.951219512195122,19.898373983739837,85.41219512195121,39.04918699186992,27.00040650406504,9.653658536585366,23.11178861788618,17.838617886178863
2017,106.33333333333333,43.515853658536585,9.711382113821138,33.80447154471545,23.2369918699187,7.716666666666667,4.815040650406504,14.261788617886179,19.852439024390243,86.05975609756098,39.607723577235774,28.99959349593496,10.490650406504065,21.676829268292682,16.627235772357725
2018,111.20853658536585,45.16544715447154,10.347154471544716,34.81829268292683,24.586585365853658,7.633739837398374,4.953252032520325,14.082926829268292,20.90447154471545,89.21056910569105,41.082113821138215,32.00894308943089,11.363821138211382,23.072357723577237,17.680487804878048
2019,111.7979225684608,44.833333333333336,10.075542965061379,34.757790368271955,24.385741265344663,7.648725212464589,4.899905571293673,14.54296506137866,20.776203966005667,88.81775259678942,40.86402266288952,34.11331444759207,12.210576015108593,23.1081208687441,17.859301227573184
2020,112.0912037037037,44.29907407407408,9.829629629629629,34.46944444444444,24.804166666666667,7.572222222222222,4.872222222222222,13.835648148148149,19.291203703703705,88.41805555555555,41.21296296296296,34.63981481481481,12.697685185185184,21.82175925925926,16.96759259259259
2021,110.61585365853658,44.45,10.334146341463414,34.11585365853659,24.648780487804878,7.630894308943089,4.713008130081301,13.76260162601626,19.63658536585366,88.09837398373983,40.6219512195122,35.176829268292686,12.43821138211382,21.86219512195122,16.933739837398374
2022,114.68577235772358,43.43821138211382,10.434552845528454,33.00365853658536,25.316666666666666,7.289837398373984,4.6536585365853655,14.095121951219513,19.979268292682928,88.30040650406504,41.97560975609756,34.21341463414634,12.341056910569106,23.528861788617885,18.39349593495935
